Name,URI,Region GSS code,Period,Sales volume,Reporting period,House price index All property types,Pivotable date
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2015-08,312,monthly,104.36,01-08-15
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2015-08,1101,monthly,104.73,01-08-15
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2015-08,2996,monthly,105.08,01-08-15
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2015-09,590,monthly,107.01,01-09-15
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2015-09,283,monthly,104.36,01-09-15
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2015-09,1062,monthly,105.84,01-09-15
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2015-09,2807,monthly,105.53,01-09-15
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2015-10,745,monthly,106.46,01-10-15
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2015-10,328,monthly,104.16,01-10-15
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2015-10,1270,monthly,106.51,01-10-15
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2015-10,3497,monthly,105.53,01-10-15
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2015-11,619,monthly,106.66,01-11-15
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2015-11,270,monthly,105.4,01-11-15
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2015-11,1086,monthly,106.31,01-11-15
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2015-11,2965,monthly,105.56,01-11-15
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2015-12,636,monthly,105.77,01-12-15
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2015-12,306,monthly,104.64,01-12-15
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2015-12,1043,monthly,107.94,01-12-15
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2015-12,3037,monthly,106.32,01-12-15
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2016-01,474,monthly,106.19,01-01-16
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2016-01,201,monthly,105.3,01-01-16
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2016-01,828,monthly,107.51,01-01-16
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2016-01,2217,monthly,106.57,01-01-16
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2016-02,494,monthly,105.67,01-02-16
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2016-02,250,monthly,103.25,01-02-16
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2016-02,932,monthly,107.6,01-02-16
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2016-02,2474,monthly,106.21,01-02-16
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2016-03,830,monthly,104.75,01-03-16
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2016-03,421,monthly,104.45,01-03-16
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2016-03,1574,monthly,105.56,01-03-16
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2016-03,4174,monthly,105.14,01-03-16
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2016-04,506,monthly,104.6,01-04-16
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2016-04,192,monthly,104.33,01-04-16
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2016-04,725,monthly,106.63,01-04-16
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2016-04,2289,monthly,105.75,01-04-16
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2016-05,482,monthly,105.05,01-05-16
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2016-05,195,monthly,106.55,01-05-16
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2016-05,926,monthly,108.73,01-05-16
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2016-05,2465,monthly,107.06,01-05-16
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2016-06,602,monthly,108.51,01-06-16
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2016-06,260,monthly,106.17,01-06-16
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2016-06,1105,monthly,110.72,01-06-16
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2016-06,2983,monthly,108.95,01-06-16
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2016-07,631,monthly,110.24,01-07-16
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2016-07,332,monthly,107.48,01-07-16
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2016-07,1189,monthly,112.44,01-07-16
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2016-07,3186,monthly,110.11,01-07-16
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2016-08,643,monthly,111.23,01-08-16
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2016-08,267,monthly,107.75,01-08-16
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2016-08,1248,monthly,112.98,01-08-16
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2016-08,3256,monthly,110.79,01-08-16
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2016-09,611,monthly,110.1,01-09-16
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2016-09,280,monthly,109.83,01-09-16
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2016-09,1110,monthly,113.89,01-09-16
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2016-09,3047,monthly,110.87,01-09-16
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2016-10,616,monthly,110.78,01-10-16
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2016-10,244,monthly,109.56,01-10-16
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2016-10,990,monthly,112.93,01-10-16
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2016-10,2848,monthly,110.64,01-10-16
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2016-11,616,monthly,110.78,01-11-16
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2016-11,323,monthly,108.88,01-11-16
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2016-11,1037,monthly,112.35,01-11-16
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2016-11,2926,monthly,110.34,01-11-16
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2016-12,655,monthly,110.66,01-12-16
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2016-12,307,monthly,107.37,01-12-16
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2016-12,1127,monthly,112.51,01-12-16
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2016-12,3251,monthly,110.69,01-12-16
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2017-01,483,monthly,108.67,01-01-17
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2017-01,181,monthly,103.05,01-01-17
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2017-01,904,monthly,112.48,01-01-17
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2017-01,2338,monthly,109.54,01-01-17
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2017-02,492,monthly,109.47,01-02-17
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2017-02,248,monthly,102.6,01-02-17
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2017-02,936,monthly,112.87,01-02-17
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2017-02,2488,monthly,109.66,01-02-17
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2017-03,657,monthly,108.91,01-03-17
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2017-03,281,monthly,102.46,01-03-17
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2017-03,1041,monthly,112.52,01-03-17
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2017-03,3057,monthly,109.09,01-03-17
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2017-04,555,monthly,109.74,01-04-17
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2017-04,238,monthly,106.59,01-04-17
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2017-04,902,monthly,113.11,01-04-17
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2017-04,2605,monthly,110.35,01-04-17
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2017-05,588,monthly,110.05,01-05-17
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2017-05,257,monthly,108.32,01-05-17
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2017-05,1015,monthly,114.01,01-05-17
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2017-05,2867,monthly,111.34,01-05-17
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2017-06,679,monthly,112.6,01-06-17
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2017-06,311,monthly,110.55,01-06-17
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2017-06,1311,monthly,115.22,01-06-17
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2017-06,3506,monthly,112.89,01-06-17
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2017-07,729,monthly,113.3,01-07-17
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2017-07,320,monthly,112.39,01-07-17
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2017-07,1078,monthly,117,01-07-17
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2017-07,3236,monthly,114.25,01-07-17
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2017-08,719,monthly,115.14,01-08-17
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2017-08,321,monthly,112.23,01-08-17
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2017-08,1155,monthly,117.41,01-08-17
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2017-08,3277,monthly,115.04,01-08-17
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2017-09,643,monthly,114.55,01-09-17
